Project Name,Files,Files with external imports,External CS Imports,External Non CS Imports,All Imports,Lines of code
madness,526,393,2,876,1689,189836
psi4,1249,1072,1,3693,9351,590922
changa,37,34,0,150,274,33779
irods,520,482,0,2096,4573,196852
pcmsolver,88,84,0,428,777,15039
mpqc,120,55,5,138,406,13537
lammps,3467,2432,0,6777,21567,1000353
cyclus,162,134,0,544,1017,64416
Trilinos,14559,12787,0,41885,69171,2451133
openmm,652,530,0,1284,3422,197290
plumed2,538,254,0,1228,3312,212555
dealii,5667,5640,0,43178,45534,1026297
cpptraj,394,222,0,518,2168,140084
GooFit,131,96,0,238,817,13878
hoomd-blue,291,242,0,1129,1950,110356
TauDEM,80,80,0,397,536,24922
SCIRun,1264,912,0,3157,8246,327054
