Project Name,Files,External CS Imports,External Non CS Imports,All Imports,Lines of code
django-dynamic-fixture,55,0,130,184,5467
django-timepiece,94,0,291,416,14697
diazo,15,0,72,102,4400
IbPy,67,0,54,138,8221
CloudBotLegacy,184,0,386,510,27091
buildout.coredev,7,0,27,27,851
django-chartit,35,0,78,83,7536
django-fluent-contents,199,0,440,599,12261
plone.app.contenttypes,70,0,492,686,13921
PyMultiNest,22,0,62,74,4207
sae-python-dev-guide,69,0,133,156,6678
citeproc-py,26,0,54,82,4633
Products.CMFPlone,320,0,1885,2543,45510
django-simple-captcha,27,0,66,80,2132
EvaP,227,0,380,497,19833
fortran90.org,2,0,1,1,295
Glyphs-Scripts,242,0,172,177,33118
plone.app.portlets,66,0,353,664,8938
dojango,48,0,118,169,5235
customizer,16,0,14,52,1969
