Project Name,Files,External CS Imports,External Non CS Imports,All Imports,Lines of code
nodeenv,5,0,32,35,1678
pure-python-otr,15,0,39,56,2688
scikit-rf,118,0,415,493,43060
python-clouddns,11,0,21,27,1170
Multicorn,23,0,70,82,4341
eulxml,35,0,112,156,9785
advene,163,0,722,1195,74269
python-netfilterqueue,2,0,1,1,65
bitHopper,34,0,51,118,2494
plone.app.discussion,39,0,289,414,8233
django-tracking2,27,0,68,79,1599
tcollector,91,0,283,359,11220
libthumbor,23,0,42,52,1878
orgmode,15,0,53,53,1588
prymatex,404,0,616,1134,51971
sh,3,0,54,56,6690
gae-boilerplate,215,0,534,722,42496
koalixcrm,303,0,648,1255,20648
sublemacspro,13,0,29,29,4158
antfs-cli,10,0,31,32,930
documentation,1,0,2,2,258
django-daguerre,40,0,107,136,4347
proteus,797,0,2753,4682,215637
zato,781,0,1683,3086,129091
cecog,149,0,422,800,26721
django-oauth2-provider,35,0,81,94,3272
icalendar,29,0,93,152,5673
django-easy-maps,20,0,47,47,771
markdown-redcarpet.tmbundle,1,0,1,1,448
tldextract,15,0,42,46,1065
Coherence,156,0,446,777,38983
Transliteration,10,0,10,11,1346
ToMaTo,678,0,964,1331,132941
python-hpilo,18,0,37,51,2940
relman-auto-nag,93,0,167,316,10405
pyramid_debugtoolbar,34,0,112,203,5326
django-cbv-inspector,26,0,48,51,1661
psycopg2-ctypes,48,0,87,230,12860
Memacs,87,0,279,389,10107
oauthlib,133,0,320,486,19634
fast-export,9,0,25,29,1123
tlslite,67,0,165,204,14569
factory_boy,58,0,121,155,10593
geany-themes,7,0,13,14,599
podio-py,14,0,21,26,1829
django-audit-log,19,0,41,50,1485
django-ratelimit,10,0,20,26,1170
lettuce_webdriver,14,0,63,69,2230
monitoring,15,0,8,18,2342
bbqsql,18,0,49,74,2528
jpylyzer,14,0,40,42,4610
symfony-cmf-docs,1,0,2,2,275
cuppa,107,0,222,408,16009
pybbm,62,0,196,233,9481
python-ebay,37,0,54,72,3344
PySurfer,33,0,103,127,8035
ColdFusion,11,0,8,11,15641
awesim,19,0,110,120,9731
django-cumulus,32,0,48,67,2882
pyBurlyBot,64,0,141,183,9047
pystun,5,0,11,15,423
pymeshio,54,0,154,214,8558
bartendro,60,0,117,231,4140
s3cmd,25,0,135,146,8750
biostar-central,214,0,598,721,20044
plone.app.theming,32,0,150,228,4585
clcache,14,0,66,73,4815
Printrun,55,0,228,257,17081
scrumbugz,60,0,196,218,5705
minimongo,13,0,31,35,3793
bitbake,244,0,786,1102,77743
salt-contrib,95,0,314,316,22806
amigaos-cross-toolchain,1,0,16,16,542
Arelle,278,0,313,799,123097
pyjwt,28,0,76,91,4479
boxoffice,101,0,293,333,8890
klein,63,0,221,235,10490
autopep8,73,0,160,164,22793
h,673,0,1288,2082,84767
HunchWorks,77,0,142,225,4355
fedmsg,77,0,220,332,11931
pydocstyle,37,0,92,96,7097
rainbow,38,0,79,134,4269
docs,1,0,2,2,275
scikit-image,561,0,1289,2053,94748
pydub,14,0,51,57,4488
softlayer-object-storage-python,18,0,30,55,2933
snimpy,27,0,81,92,5960
PySocks,6,0,25,28,1433
cuisine,6,0,4,6,2672
plone.app.workflowmanager,23,0,70,113,2072
ensime-sublime,45,0,141,186,8594
ViTables,108,0,318,474,20392
OWSLib,127,0,136,383,29203
sage-patchbot,17,0,81,83,5014
confuse,13,0,47,57,3323
unstdlib.py,20,0,40,45,2792
percol,18,0,33,48,2538
gmusicapi,33,0,147,192,19132
MozSecWorld,163,0,192,263,30676
transifex-client,26,0,71,108,6442
mikidown,27,0,136,146,6212
CaseConversion,2,0,6,6,385
horton,261,0,365,658,57247
pyxmpp2,100,0,424,574,28903
pycparserext,7,0,10,10,1312
census,50,0,116,160,4120
CoilSnake,128,0,155,366,15924
prestapyt,8,0,26,28,1239
ktbs,126,0,409,617,31632
