Project Name,Files,External CS Imports,External Non CS Imports,All Imports,Lines of code
Minecraft,1,0,9,9,902
lazyflow,235,0,1422,1815,57482
ccm,19,0,116,136,7703
emokit,33,0,90,109,3969
Frozen-Flask,6,0,29,31,1566
tablib,33,0,69,84,5791
securedrop,174,0,693,875,30043
makahiki,453,0,842,1373,37476
ginkgo,16,0,60,76,2248
python-snappy,12,0,36,39,1568
mozillians,286,0,741,1042,23172
gargoyle,35,0,64,85,3556
flask-mongoalchemy,20,0,28,48,1324
mcstatus,13,0,17,27,1345
youtify,34,0,138,213,6906
SublimeCodeIntel,7,0,39,39,3660
QuantitativeReporting,15,0,100,114,3523
xunlei-lixian,72,0,72,229,6160
amitools,431,0,670,1177,50885
ijson,11,0,17,25,1252
owtf,285,0,326,835,20575
mittun,84,0,149,183,2965
git-bz-moz,6,0,27,31,937
eea.facetednavigation,161,0,380,750,9904
django-states2,25,0,58,71,2487
Bookie,90,0,329,548,13723
d3py,32,0,52,86,2078
svtplay-dl,87,0,363,702,10897
PyHamcrest,111,0,112,376,6115
froide,453,0,1540,1789,41826
django-boundaryservice,16,0,39,46,1015
q,5,0,22,24,1996
scielo-manager,209,0,650,755,44336
pyswf,15,0,65,67,7264
djangopeople,56,0,181,187,5115
bcfg2,312,0,918,1524,67222
pattern,121,0,687,813,44028
SublimeGDB,2,0,15,15,2191
fabulaws,27,0,87,126,4749
klaus,25,0,106,120,2529
django-security,27,0,86,96,3613
facebook-sdk,21,0,33,47,1636
pelita,57,0,222,260,14012
Intranet,117,0,416,460,14489
econsensus,143,0,438,597,13075
collective.plonetruegallery,33,0,129,199,2708
livestreamer,162,0,385,581,21156
catkin,51,0,172,190,5214
Pyrseas,83,0,81,185,19151
pydpiper,52,0,183,276,13727
Arkestra,188,0,465,608,27129
conky_colors,17,0,90,92,4150
kartograph.py,53,0,52,139,6806
LaTeXTools,122,0,403,442,27686
exitwp,2,0,8,9,1176
PySide,452,0,611,1184,22707
mpDris2,1,0,16,16,1497
streaming-system,62,0,221,252,6006
python-haystack,115,0,267,439,28324
python4astronomers,37,0,56,63,2620
cms,372,0,810,1254,65939
headphones,668,0,1241,1846,218703
ncclient,118,0,197,405,11886
apt-offline,19,0,58,76,5265
frappe,1109,0,1389,3065,87257
dnsrecon,10,0,52,60,3383
pybossa,370,0,773,1519,68283
Products.TinyMCE,65,0,187,259,5493
xapi-storage,15,0,42,62,2937
plone.app.layout,64,0,320,415,6491
httpbin,8,0,44,46,3292
django-cms-search,15,0,29,32,629
AndroidViewClient,75,0,209,263,14934
hamper,37,0,79,103,4987
fuzzywuzzy,11,0,31,38,1675
otm-legacy,106,0,396,452,23851
sonospy,290,0,928,1311,118712
Flexget,608,0,1358,2949,97918
