Project Name,Files,Files with external imports,External CS Imports,External Non CS Imports,All Imports,Lines of code
exitwp,2,1,0,8,9,1176
PySide,452,423,0,611,1184,22707
mpDris2,1,1,0,16,16,1497
streaming-system,62,44,0,221,252,6006
python-haystack,115,96,0,267,439,28324
python4astronomers,37,24,0,56,63,2620
cms,372,266,0,810,1254,65939
headphones,668,368,0,1241,1846,218703
ncclient,118,77,0,197,405,11886
plone.app.portlets,66,55,0,353,664,8938
dojango,48,30,0,118,169,5235
apt-offline,19,14,0,58,76,5265
frappe,1107,782,0,1386,3062,87247
dnsrecon,10,9,0,52,60,3383
pybossa,370,292,0,773,1519,68283
Products.TinyMCE,65,53,0,187,259,5493
xapi-storage,15,12,0,42,62,2937
plone.app.layout,64,44,0,320,415,6491
httpbin,8,7,0,44,46,3292
django-cms-search,15,7,0,29,32,629
AndroidViewClient,75,51,0,209,263,14934
hamper,37,30,0,79,103,4987
fuzzywuzzy,11,9,0,31,38,1675
otm-legacy,106,83,0,396,452,23851
customizer,16,7,0,14,52,1969
sonospy,290,194,0,928,1311,118712
Flexget,608,491,0,1358,2949,97918
