Project Name,Files,Files with external imports,External CS Imports,External Non CS Imports,All Imports,Lines of code
nodeenv,5,4,0,32,35,1678
pure-python-otr,15,12,0,39,56,2688
scikit-rf,118,103,0,415,493,43060
python-clouddns,11,8,0,21,27,1170
Multicorn,23,20,0,70,82,4341
eulxml,35,28,0,112,156,9785
advene,163,142,0,722,1195,74269
python-netfilterqueue,2,1,0,1,1,65
bitHopper,34,25,0,51,118,2494
plone.app.discussion,39,34,0,289,414,8233
django-tracking2,27,22,0,68,79,1599
tcollector,91,61,0,283,359,11220
libthumbor,23,17,0,42,52,1878
orgmode,15,14,0,53,53,1588
prymatex,403,239,0,616,1134,51968
sh,3,3,0,54,56,6690
gae-boilerplate,215,149,0,534,722,42496
koalixcrm,303,252,0,648,1255,20648
sublemacspro,13,11,0,29,29,4158
antfs-cli,10,8,0,31,32,930
documentation,1,1,0,2,2,258
django-daguerre,40,28,0,107,136,4347
proteus,785,611,0,2753,4682,215637
zato,781,531,0,1683,3086,129107
cecog,149,106,0,422,800,26721
django-oauth2-provider,35,24,0,81,94,3272
icalendar,29,24,0,93,152,5673
django-dynamic-fixture,55,41,0,130,184,5467
django-easy-maps,20,13,0,47,47,771
markdown-redcarpet.tmbundle,1,1,0,1,1,448
django-timepiece,94,69,0,291,416,14697
tldextract,15,13,0,42,46,1065
Coherence,156,119,0,445,777,38983
Transliteration,10,4,0,10,11,1346
ToMaTo,574,370,0,1048,1329,105418
python-hpilo,18,10,0,37,51,2940
relman-auto-nag,93,49,0,167,316,10405
pyramid_debugtoolbar,34,29,0,112,203,5326
django-cbv-inspector,26,19,0,48,51,1661
psycopg2-ctypes,48,37,0,87,230,12860
Memacs,87,58,0,279,389,10107
oauthlib,133,108,0,320,486,19634
fast-export,9,6,0,25,29,1123
tlslite,67,47,0,165,204,14569
factory_boy,58,46,0,121,155,10593
geany-themes,7,4,0,13,14,599
podio-py,14,9,0,21,26,1829
django-audit-log,19,12,0,41,50,1485
django-ratelimit,10,5,0,20,26,1170
lettuce_webdriver,14,13,0,63,69,2230
monitoring,15,7,0,8,18,2342
diazo,15,13,0,72,102,4400
IbPy,67,33,0,54,138,8221
bbqsql,18,11,0,49,74,2528
jpylyzer,14,10,0,40,42,4610
symfony-cmf-docs,1,1,0,2,2,275
cuppa,107,69,0,222,408,16009
pybbm,62,54,0,196,233,9481
python-ebay,37,22,0,54,72,3344
PySurfer,33,23,0,103,127,8035
ColdFusion,11,4,0,8,11,15641
awesim,19,15,0,110,120,9731
django-cumulus,32,20,0,48,67,2882
CloudBotLegacy,184,146,0,386,510,27091
pyBurlyBot,64,48,0,141,183,9047
pystun,5,4,0,11,15,423
pymeshio,54,49,0,154,214,8558
buildout.coredev,7,6,0,27,27,851
bartendro,60,41,0,117,231,4140
s3cmd,25,21,0,135,146,8750
django-chartit,35,27,0,78,83,7536
biostar-central,214,138,0,598,721,20044
plone.app.theming,32,24,0,150,228,4585
clcache,14,11,0,66,73,4815
Printrun,55,46,0,228,257,17081
scrumbugz,60,44,0,196,218,5705
minimongo,13,9,0,31,35,3793
bitbake,244,198,0,786,1102,77743
salt-contrib,95,81,0,314,316,22806
django-fluent-contents,199,141,0,440,599,12261
amigaos-cross-toolchain,1,1,0,16,16,542
Arelle,278,171,0,312,801,123471
pyjwt,28,21,0,76,91,4479
boxoffice,101,86,0,293,333,8890
klein,63,48,0,221,235,10490
autopep8,73,20,0,160,164,22793
h,673,535,0,1288,2082,84767
HunchWorks,77,58,0,142,225,4355
fedmsg,76,53,0,220,332,11646
pydocstyle,37,30,0,92,96,7097
rainbow,38,29,0,79,134,4269
docs,1,1,0,2,2,275
scikit-image,531,474,0,1291,2051,94766
pydub,14,12,0,51,57,4488
softlayer-object-storage-python,18,12,0,30,55,2933
snimpy,27,24,0,81,92,5960
PySocks,6,5,0,25,28,1433
cuisine,6,3,0,4,6,2672
plone.app.workflowmanager,23,18,0,70,113,2072
ensime-sublime,45,34,0,141,186,8594
ViTables,108,87,0,318,474,20392
OWSLib,127,64,0,136,383,29203
sage-patchbot,17,15,0,81,83,5014
plone.app.contenttypes,70,59,0,492,686,13921
confuse,13,11,0,47,57,3355
unstdlib.py,20,15,0,40,45,2792
PyMultiNest,22,16,0,62,74,4207
percol,18,14,0,33,48,2538
gmusicapi,33,24,0,147,192,19132
MozSecWorld,163,72,0,192,263,30676
transifex-client,26,21,0,71,108,6442
mikidown,27,26,0,136,146,6212
CaseConversion,2,2,0,6,6,385
horton,261,188,0,365,658,57247
pyxmpp2,100,93,0,424,574,28903
pycparserext,7,6,0,10,10,1312
census,50,38,0,116,160,4120
CoilSnake,128,69,0,155,366,15924
prestapyt,8,7,0,26,28,1239
ktbs,126,109,0,409,617,31632
Minecraft,1,1,0,9,9,902
lazyflow,235,228,0,1422,1815,57482
ccm,19,16,0,116,136,7703
sae-python-dev-guide,69,41,0,133,156,6678
emokit,33,25,0,90,109,3969
Frozen-Flask,6,5,0,29,31,1566
tablib,33,24,0,69,84,5791
securedrop,174,156,0,693,875,30043
makahiki,453,272,0,842,1373,37476
ginkgo,16,14,0,60,76,2248
python-snappy,12,12,0,36,39,1568
mozillians,286,249,0,741,1042,23172
gargoyle,35,21,0,64,85,3556
flask-mongoalchemy,20,15,0,28,48,1324
mcstatus,13,10,0,17,27,1345
youtify,34,30,0,138,213,6906
citeproc-py,26,16,0,54,82,4633
Products.CMFPlone,317,290,0,1881,2534,45361
django-simple-captcha,27,19,0,66,80,2132
EvaP,227,139,0,380,497,19833
SublimeCodeIntel,7,6,0,39,39,3660
QuantitativeReporting,15,11,0,100,114,3523
xunlei-lixian,72,38,0,72,229,6160
amitools,431,272,0,670,1177,50885
ijson,11,7,0,17,25,1252
owtf,285,94,0,326,835,20575
mittun,84,52,0,149,183,2965
git-bz-moz,6,5,0,27,31,937
eea.facetednavigation,161,115,0,380,750,9904
django-states2,25,17,0,58,71,2487
Bookie,90,75,0,329,548,13723
d3py,32,20,0,52,86,2078
svtplay-dl,87,84,0,363,702,10897
PyHamcrest,111,67,0,112,376,6115
froide,453,375,0,1541,1790,41852
django-boundaryservice,16,13,0,39,46,1015
q,5,2,0,22,24,1996
scielo-manager,209,161,0,650,755,44336
pyswf,15,13,0,65,67,7264
djangopeople,56,41,0,181,187,5115
bcfg2,312,258,0,918,1524,67222
pattern,121,120,0,687,813,44028
SublimeGDB,2,2,0,15,15,2191
fabulaws,27,17,0,87,126,4749
klaus,25,23,0,106,120,2529
django-security,27,20,0,86,96,3613
fortran90.org,2,1,0,1,1,295
facebook-sdk,21,18,0,33,47,1636
pelita,57,44,0,222,260,14012
Intranet,117,90,0,416,460,14489
Glyphs-Scripts,242,133,0,171,176,33141
econsensus,143,119,0,438,597,13075
collective.plonetruegallery,33,27,0,129,199,2708
livestreamer,162,148,0,385,581,21156
catkin,51,42,0,172,190,5214
Pyrseas,83,42,0,81,185,19151
pydpiper,52,43,0,183,276,13727
Arkestra,188,134,0,465,608,27129
conky_colors,17,17,0,90,92,4150
kartograph.py,53,27,0,52,139,6806
LaTeXTools,122,104,0,403,442,27686
