Project Name,Files,Files with external imports,External CS Imports,External Non CS Imports,All Imports,Lines of code
MAST,798,447,159,1304,2531,68161
radical.pilot,280,246,0,862,1114,50726
pymatgen,487,401,0,1683,2804,190792
yt,842,548,0,1682,3561,170846
MetPy,119,103,0,387,546,40302
galaxy,1703,1280,0,4042,7692,324569
RMG-Py,415,214,0,748,1413,202537
openmmtools,55,51,0,269,306,42706
signac-flow,58,52,0,277,308,13103
abaco,104,89,0,348,479,21314
forcebalance,134,128,0,751,993,49300
mdanalysis,325,299,0,1518,1974,112796
hydroshare,791,511,0,1812,2653,134376
foyer,33,29,0,102,148,4117
luigi,255,204,0,811,1534,62391
apbs-pdb2pqr,528,278,0,640,1764,155788
parsl,347,196,0,574,1353,29522
yank,37,27,13,184,214,22539
