Project Name,Files,Files with external imports,External CS Imports,External Non CS Imports,All Imports,Lines of code
luafilesystem,1,1,0,21,22,952
cctools,301,292,0,2006,3795,267075
mdtraj,28,26,0,98,161,33304
libmesh,1091,1077,0,3558,4193,468376
ompi,2733,2631,0,9563,17688,563589
blis,945,929,0,1542,1643,380422
